r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model,targetLength
0.671059,y,velocity,3,4,None,deepDomainComfuse,3750
0.7542285,x,velocity,3,4,None,domainAdversarial,3750
0.6864073,y,velocity,3,4,None,domainAdversarial,3750
0.7534096,x,velocity,3,4,None,Finetune,4688
0.64999914,y,velocity,3,4,None,Finetune,4688
0.74289334,x,velocity,3,4,None,MixCalibration,4688
0.7053087,y,velocity,3,4,None,MixCalibration,4688
0.7518357,x,velocity,3,4,None,deepDomainComfuse,4688
0.7273792,y,velocity,3,4,None,deepDomainComfuse,4688
0.79982674,x,velocity,3,4,None,domainAdversarial,4688
0.7060687,y,velocity,3,4,None,domainAdversarial,4688
0.64389324,x,velocity,4,5,None,Finetune,938
0.62225044,y,velocity,4,5,None,Finetune,938
0.7030803,x,velocity,4,5,None,MixCalibration,938
0.70780075,y,velocity,4,5,None,MixCalibration,938
0.68308604,x,velocity,4,5,None,deepDomainComfuse,938
0.6372982,y,velocity,4,5,None,deepDomainComfuse,938
0.7035794,x,velocity,4,5,None,domainAdversarial,938
0.6945524,y,velocity,4,5,None,domainAdversarial,938
0.6832771,x,velocity,4,5,None,Finetune,1875
0.6887555,y,velocity,4,5,None,Finetune,1875
0.7147143,x,velocity,4,5,None,MixCalibration,1875
0.71973467,y,velocity,4,5,None,MixCalibration,1875
0.6942619,x,velocity,4,5,None,deepDomainComfuse,1875
0.70584095,y,velocity,4,5,None,deepDomainComfuse,1875
0.71734715,x,velocity,4,5,None,domainAdversarial,1875
0.7236097,y,velocity,4,5,None,domainAdversarial,1875
0.71110284,x,velocity,4,5,None,Finetune,2813
0.71043193,y,velocity,4,5,None,Finetune,2813
0.73647213,x,velocity,4,5,None,MixCalibration,2813
0.74672484,y,velocity,4,5,None,MixCalibration,2813
0.6930089,x,velocity,4,5,None,deepDomainComfuse,2813
0.72047347,y,velocity,4,5,None,deepDomainComfuse,2813
0.73125994,x,velocity,4,5,None,domainAdversarial,2813
0.74080414,y,velocity,4,5,None,domainAdversarial,2813
0.71829295,x,velocity,4,5,None,Finetune,3750
0.7245935,y,velocity,4,5,None,Finetune,3750
0.73084265,x,velocity,4,5,None,MixCalibration,3750
0.7607169,y,velocity,4,5,None,MixCalibration,3750
0.73748714,x,velocity,4,5,None,deepDomainComfuse,3750
0.7482916,y,velocity,4,5,None,deepDomainComfuse,3750
0.74287045,x,velocity,4,5,None,domainAdversarial,3750
0.74086183,y,velocity,4,5,None,domainAdversarial,3750
0.7214922,x,velocity,4,5,None,Finetune,4688
0.7445868,y,velocity,4,5,None,Finetune,4688
0.7320198,x,velocity,4,5,None,MixCalibration,4688
0.75757116,y,velocity,4,5,None,MixCalibration,4688
0.7294902,x,velocity,4,5,None,deepDomainComfuse,4688
0.7544069,y,velocity,4,5,None,deepDomainComfuse,4688
0.7768761,x,velocity,4,5,None,domainAdversarial,4688
0.7808136,y,velocity,4,5,None,domainAdversarial,4688
0.6664837,x,velocity,5,6,None,Finetune,938
0.61638904,y,velocity,5,6,None,Finetune,938
0.6829819,x,velocity,5,6,None,MixCalibration,938
0.66545016,y,velocity,5,6,None,MixCalibration,938
0.6574775,x,velocity,5,6,None,deepDomainComfuse,938
0.61993057,y,velocity,5,6,None,deepDomainComfuse,938
0.6563351,x,velocity,5,6,None,domainAdversarial,938
0.67488337,y,velocity,5,6,None,domainAdversarial,938
0.6801349,x,velocity,5,6,None,Finetune,1875
0.6447492,y,velocity,5,6,None,Finetune,1875
0.7107513,x,velocity,5,6,None,MixCalibration,1875
0.65869963,y,velocity,5,6,None,MixCalibration,1875
0.69778156,x,velocity,5,6,None,deepDomainComfuse,1875
0.6824198,y,velocity,5,6,None,deepDomainComfuse,1875
0.6837748,x,velocity,5,6,None,domainAdversarial,1875
0.6439041,y,velocity,5,6,None,domainAdversarial,1875
0.69497,x,velocity,5,6,None,Finetune,2813
0.67535627,y,velocity,5,6,None,Finetune,2813
0.70945334,x,velocity,5,6,None,MixCalibration,2813
0.6620151,y,velocity,5,6,None,MixCalibration,2813
0.69098425,x,velocity,5,6,None,deepDomainComfuse,2813
0.6847384,y,velocity,5,6,None,deepDomainComfuse,2813
0.72063965,x,velocity,5,6,None,domainAdversarial,2813
0.68938965,y,velocity,5,6,None,domainAdversarial,2813
0.7369104,x,velocity,5,6,None,Finetune,3750
0.7073597,y,velocity,5,6,None,Finetune,3750
0.73512334,x,velocity,5,6,None,MixCalibration,3750
0.7209762,y,velocity,5,6,None,MixCalibration,3750
0.7393687,x,velocity,5,6,None,deepDomainComfuse,3750
0.7183146,y,velocity,5,6,None,deepDomainComfuse,3750
0.7417224,x,velocity,5,6,None,domainAdversarial,3750
0.71135026,y,velocity,5,6,None,domainAdversarial,3750
0.7125343,x,velocity,5,6,None,Finetune,4688
0.70333445,y,velocity,5,6,None,Finetune,4688
0.71715343,x,velocity,5,6,None,MixCalibration,4688
